date,client_lat,client_lon,client_city,client_country,client_asn,client_isp,server_lat,server_lon,server_site,server_city,download_mbps,min_rtt_ms,packet_loss_rate
2025-10-13,42.0834,-71.3967,Franklin,US,7922,"Comcast Cable Communications, LLC",-33.9461,151.177,syd03,Sydney,63.118060605864606,268.842,0.0
2025-10-13,42.6028,-71.2319,Tewksbury,US,7922,"Comcast Cable Communications, LLC",45.4657,-73.7455,yul03,Montreal,600.4089206840983,31.289,0.005518969061850402
2025-10-13,42.3574,-71.0618,Boston,US,398391,,45.4657,-73.7455,yul03,Montreal,472.2145522917928,27.248,0.000945773362495743
2025-10-13,43.0573,-83.7498,Flint,US,237,Merit Network Inc.,43.6797,-79.6227,yyz08,Toronto,2.809015099334178,25.528,0.022008614684800854
2025-10-13,47.5342,-92.5308,Virginia,US,30036,Mediacom Communications Corp,49.91,-97.2399,ywg02,Winnipeg,91.64378064440521,21.863,0.0
2025-10-13,44.7499,-93.2081,Apple Valley,US,12042,Enventis Telecom Inc.,53.4213,-6.27007,dub01,Dublin,41.2338693436942,97.858,0.10462857515268402
2025-10-13,44.9834,-93.2622,Minneapolis,US,14593,Space Exploration Technologies Corporation,49.91,-97.2399,ywg02,Winnipeg,187.85797330507378,36.795,0.01998922236293504
2025-10-13,38.6487,-90.3297,St Louis,US,20115,Charter Communications,40.4719,-3.56264,mad06,Madrid,17.358428814655934,113.039,0.0
2025-10-13,38.6664,-90.322,St Louis,US,7018,"AT&T Services, Inc.",58.8767,5.63778,svg01,Stavanger,110.80535136642165,130.2,0.03719920658209178
2025-10-13,45.7815,-108.5706,Billings,US,33588,Charter Communications,50.0333,8.57056,fra04,Frankfurt,109.38784737311441,160.188,0.0
2025-10-13,48.1999,-114.3034,Kalispell,US,33588,Charter Communications,51.1139,-114.02,yyc03,Calgary,48.47170351523288,32.704,0.06873692959061614
2025-10-13,42.8674,-71.3793,Londonderry,US,13672,"FAIRPOINT COMMUNICATIONS, INC.",45.4657,-73.7455,yul06,Montreal,203.75499515309403,21.535,0.1044165409343906
2025-10-13,43.134,-70.9265,Durham,US,13672,"FAIRPOINT COMMUNICATIONS, INC.",45.4657,-73.7455,yul06,Montreal,100.50689169766562,16.215,0.11222668287146542
2025-10-13,43.134,-70.9265,Durham,US,13672,"FAIRPOINT COMMUNICATIONS, INC.",45.4657,-73.7455,yul03,Montreal,601.7891683267508,10.922,0.07588064441015141
2025-10-13,40.7126,-74.0066,New York,US,212238,,53.4213,-6.27007,dub01,Dublin,7.354774122221121,289.138,0.009937784794417714
2025-10-13,42.9005,-78.6726,Lancaster,US,11351,Time Warner Cable Internet LLC,45.4657,-73.7455,yul06,Montreal,360.62819785793005,31.622,0.00015217036181781613
2025-10-13,40.7126,-74.0066,New York,US,212238,,42.6967,23.4114,sof01,Sofia,20.214509530771107,106.857,0.0
2025-10-13,43.0418,-76.2238,Syracuse,US,701,"MCI Communications Services, Inc. d/b/a Verizon Business",43.6797,-79.6227,yyz08,Toronto,403.2383935582502,31.0,0.011975879413079664
2025-10-13,40.7126,-74.0066,New York,US,55256,Netskope Inc,43.6797,-79.6227,yyz08,Toronto,52.02508343428778,16.48,0.0
2025-10-13,40.8225,-73.2035,Hauppauge,US,6128,Cablevision Systems Corp.,45.4657,-73.7455,yul08,Montreal,170.39721431080721,12.811,0.008746352644931883
2025-10-13,40.7126,-74.0066,New York,US,174,Cogent Communications,50.0333,8.57056,fra04,Frankfurt,172.54243028450063,100.274,0.037747622342768676
2025-10-13,44.8509,-74.2927,Malone,US,11351,Time Warner Cable Internet LLC,45.4657,-73.7455,yul03,Montreal,113.71078720498471,40.413,9.646276210979496e-06
2025-10-13,40.7126,-74.0066,New York,US,31515,INMARSAT GLOBAL LIMITED,58.8767,5.63778,svg01,Stavanger,51.13086744269621,91.409,0.0
2025-10-13,40.7429,-73.9392,Queens,US,23512,Rockefeller Group Telecommunications Service,58.8767,5.63778,svg01,Stavanger,56.88325455590831,90.639,0.1141174665393461
2025-10-13,46.8524,-96.8121,Fargo,US,11492,"CABLE ONE, INC.",49.91,-97.2399,ywg02,Winnipeg,208.16437774414396,30.219,0.0
2025-10-13,48.2261,-101.2974,Minot,US,14543,"SRT Communications, Inc.",49.91,-97.2399,ywg02,Winnipeg,194.5384731143208,24.14,0.0200453619272292
2025-10-13,48.1127,-98.8676,Devils Lake,US,11232,Midcontinent Communications,49.91,-97.2399,ywg02,Winnipeg,351.9890496572271,25.206,0.06066228317372601
2025-10-13,40.6824,-82.5286,Mansfield,US,10796,Time Warner Cable Internet LLC,43.6797,-79.6227,yyz08,Toronto,454.4227531695634,37.758,0.0
2025-10-13,45.8401,-119.705,Boardman,US,16509,"Amazon.com, Inc.",53.4213,-6.27007,dub01,Dublin,128.7004737211459,152.674,0.0
2025-10-13,34.6923,-82.2919,Simpsonville,US,20115,Charter Communications,51.4775,-0.461389,lhr04,London,146.00247634898722,101.815,0.09384073732710962
2025-10-13,33.6465,-96.6132,Sherman,US,11492,"CABLE ONE, INC.",53.4213,-6.27007,dub01,Dublin,116.77663240264332,109.967,0.0
2025-10-13,26.1617,-97.9956,Weslaco,US,17293,VTX Communications,25.7785,-100.107,mty01,Monterrey,20.219427882991713,50.716,0.0
2025-10-13,32.382,-94.8687,Kilgore,US,5650,"Frontier Communications of America, Inc.",25.7785,-100.107,mty01,Monterrey,34.6666517337425,50.586,0.11451533110802757
2025-10-13,27.6357,-99.5923,Laredo,US,14416,"Internet de Nuevo Laredo, S.A de C.V.",25.7785,-100.107,mty01,Monterrey,13.901211883238183,57.727,0.1264969821126478
2025-10-13,27.5569,-99.4907,Laredo,US,11427,Time Warner Cable Internet LLC,25.7785,-100.107,mty01,Monterrey,93.33631504113445,32.509,0.0031569683589602764
2025-10-13,29.5634,-104.3532,Presidio,US,36105,"Big Bend Telephone, Inc.",25.7785,-100.107,mty01,Monterrey,333.298135289916,45.672,0.002604100444399336
2025-10-13,27.4047,-99.4743,Laredo,US,11427,Time Warner Cable Internet LLC,25.7785,-100.107,mty01,Monterrey,344.08346281820207,30.712,0.000651297259039262
2025-10-13,26.1696,-98.0549,Donna,US,11427,Time Warner Cable Internet LLC,25.7785,-100.107,mty01,Monterrey,8.182573535508556,38.729,0.05819045101973724
2025-10-13,28.7031,-100.4785,Eagle Pass,US,11427,Time Warner Cable Internet LLC,25.7785,-100.107,mty01,Monterrey,175.60198849355302,74.265,1.9357900501619213e-05
2025-10-13,26.1966,-97.6912,Harlingen,US,11427,Time Warner Cable Internet LLC,25.7785,-100.107,mty01,Monterrey,221.0478608654122,59.268,0.0
2025-10-13,29.7869,-95.1759,Houston,US,3356,"Level 3 Parent, LLC",45.4657,-73.7455,yul08,Montreal,367.37701097057584,51.835,0.008321068888340982
2025-10-13,30.172,-97.8784,Austin,US,394089,Oahu Publications,28.5665,77.1031,del02,New Delhi,51.89523972591814,14.957,0.10827254824526747
2025-10-13,47.6733,-122.3426,Seattle,US,209,"Qwest Communications Company, LLC",49.1939,-123.184,yvr03,Vancouver,628.7348585765833,7.273,0.008638433180428895
2025-10-13,37.751,-97.822,,US,133388,IMS Health India Pvt Ltd,12.99,80.1693,maa01,Chennai,26.614582820454746,36.606,0.0633485789712918
2025-10-13,37.751,-97.822,,US,36692,"OpenDNS, LLC",51.4775,-0.461389,lhr07,London,249.9887847631626,6.246,0.00013761514297679948
2025-10-13,37.751,-97.822,,US,30598,CARNIVAL CRUISE LINES,49.1939,-123.184,yvr04,Vancouver,9.761753651457253,30.0,0.0008926385036085576
2025-10-13,37.751,-97.822,,US,17378,TIERPOINT PENNSYLVANIA TWO LLC,50.1008,14.26,prg03,Prague,175.72373189483608,120.783,0.0
2025-10-13,61.2049,-149.8096,Anchorage,US,8047,"GENERAL COMMUNICATION, INC.",49.1939,-123.184,yvr03,Vancouver,74.85568225757054,37.419,0.0
2025-10-13,64.7511,-147.3494,North Pole,US,8047,"GENERAL COMMUNICATION, INC.",49.1939,-123.184,yvr04,Vancouver,386.2229581498861,41.555,0.0
2025-10-13,33.5038,-112.0253,Phoenix,US,209,"Qwest Communications Company, LLC",45.4494,9.2783,mil06,Milan,11.466406619706776,164.491,0.0
2025-10-13,33.5065,-112.0664,Phoenix,US,3356,"Level 3 Parent, LLC",45.4494,9.2783,mil05,Milan,41.927037691476436,151.737,0.1404808812798332
2025-10-13,35.8363,-90.6999,Jonesboro,US,23404,"Ritter Communications, Inc.",51.4775,-0.461389,lhr04,London,125.39403338147983,102.345,0.0
2025-10-13,34.0862,-117.9641,Baldwin Park,US,20115,Charter Communications,58.8767,5.63778,svg01,Stavanger,60.870422521127054,168.261,0.16594156092383047
